No.,Setting_Index,ID_Setting,Setting_Name,Setting_Type,Setting_Value
0,112,D4112,S8_CURRENT_HEIGHT_TR1,h,0
1,116,D4116,S8_OFF_SET_TR1,h,20
2,120,D4120,S8_TOTAL_HEIGHT_TR1,h,20
3,124,D4124,S8_MINIMUN_HEIGHT_VALUE_TR1,h,21
4,128,D4128,S8_MAXIMUM_HEIGHT_VALUE_TR1,h,21
5,312,D4312,S8_CURRENT_HEIGHT_TR3,h,0
6,316,D4316,S8_OFF_SET_TR3,h,21
7,320,D4320,S8_TOTAL_HEIGHT_TR3,h,21
8,324,D4324,S8_MINIMUM_HEIGHT_VALUE_TR3,h,21
9,328,D4328,S8_MAXIMUM_HEIGHT_VALUE_TR3,h,21
10,212,D4212,S9_CURRENT_HEIGHT_TR2,h,0
11,216,D4216,S9_OFF_SET_TR2,h,20
12,220,D4220,S9_TOTAL_HEIGHT_TR2,h,20
13,224,D4224,S9_MINIMUM_HEIGHT_VALUE_TR2,h,20
14,228,D4228,S9_MAXIMUM_HEIGHT_VALUE_TR2,h,21
15,412,D4412,S9_CURRENT_HEIGHT_TR4,h,0
16,416,D4416,S9_OFF_SET_TR4,h,20
17,420,D4420,S9_TOTAL_HEIGHT_TR4,h,20
18,424,D4424,S9_HEIGHT_MINIMUM_VALUE_TR4,h,21
19,428,D4428,S9_MAXIMUM_HEIGHT_VALUE_TR4,h,21
