No.,Desktop_Name
0,machineStatus
1,operationTimeRaw
2,goodProductRaw
3,errorProduct
4,EFF
5,productCount
6,BOTTOM_CAP_REJ_TR1
7,SILICON_PRESENCE_REJ_TR1
8,COVER_PRESENCE_REJ_TR1
9,HEIGHT_CHK_REJ_TR1
10,LEAK_TEST_CHK_OK_TR1
11,BOTTOM_CAP_REJ_TR2
12,SILICON_PRESENCE_REJ_TR2
13,COVER_PRESENCE_REJ_TR2
14,HEIGHT_CHK_REJ_TR2
15,LEAK_TEST_CHK_TR2
16,BOTTOM_CAP_REJ_TR3
17,SILICON_PRESENCE_REJ_TR3
18,COVER_PRESENCE_REJ_TR3
19,HEIGHT_CHK_REJ_TR3
20,LEAK_TEST_CHK_TR3
21,BOTTOM_CAP_REJ_TR4
22,SILICON_PRESENCE_REJ_TR4
23,COVER_PRESENCE_REJ_TR4
24,HEIGHT_CHK_REJ_TR4
25,LEAK_TEST_CHK_TR4
26,Weld_Cycle_Tr1&3_S7
27,RunTime_Tr1&3_S7
28,Pk_Pwr_Tr1&3_S7
29,Energy_Tr1&3_S7
30,Weld_Abs_Tr1&3_S7
31,Weld_Col_Tr1&3_S7
32,Total_Col_Tr1&3_S7
33,Trig_Force_Tr1&3_S7
34,Weld_Force_Tr1&3_S7
35,Freq_Chg_Tr1&3_S7
17,Set_AMP_A_Tr1&3_S7
18,Velocity_Tr1&3_S7
19,Weld_Cycle_Tr2&4_S6
20,RunTime_Tr2&4_S6
21,Pk_Pwr_Tr2&4_S6
22,Energy_Tr2&4_S6
23,Weld_Abs_Tr2&4_S6
24,Weld_Col_Tr2&4_S6
25,Total_Col_Tr2&4_S6
26,Trig_Force_Tr2&4_S6
27,Weld_Force_Tr2&4_S6
28,Freq_Chg_Tr2&4_S6
29,Set_AMP_A_Tr2&4_S6
30,Velocity_Tr2&4_S6
31,S8_OFF_SET_TR1
32,S8_MINIMUN_HEIGHT_VALUE_TR1
33,S8_MAXIMUM_HEIGHT_VALUE_TR1
34,S8_OFF_SET_TR3
35,S8_MINIMUM_HEIGHT_VALUE_TR3
17,S8_MAXIMUM_HEIGHT_VALUE_TR3
18,S9_OFF_SET_TR2
19,S9_MINIMUM_HEIGHT_VALUE_TR2
20,S9_MAXIMUM_HEIGHT_VALUE_TR2
21,S9_OFF_SET_TR4
22,S9_MINIMUM_HEIGHT_VALUE_TR4
23,S9_MAXIMUM_HEIGHT_VALUE_TR4
